"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.952118760E-1,3.159759283E0,-1.022315025E-1,-2.101578712E-1,3.168390181E0
7.002395320E-1,3.395948887E0,-7.212400436E-2,1.753849983E-1,3.401239570E0
7.052671880E-1,3.402934551E0,1.077222824E-2,5.600619316E-1,3.448731501E0
7.103254690E-1,3.439292908E0,2.165060043E-1,8.593654633E-1,3.551636180E0
7.153551570E-1,3.650872946E0,3.475432396E-1,1.222784996E0,3.865858600E0
7.203915110E-1,3.783973932E0,5.280933380E-1,1.530851364E0,4.115926043E0
7.254218760E-1,4.027618408E0,6.575832367E-1,1.636637688E0,4.396897619E0
7.304512510E-1,4.223249435E0,7.789959908E-1,1.598530769E0,4.582354326E0
7.354815110E-1,4.351814747E0,9.164767265E-1,1.664254665E0,4.748469730E0
7.405117710E-1,4.708092213E0,9.466080666E-1,1.884892941E0,5.158974754E0
7.455791670E-1,4.662547588E0,8.423957825E-1,1.825902939E0,5.077686699E0
7.506118760E-1,4.411352158E0,7.992167473E-1,1.869534016E0,4.857358614E0
7.556445840E-1,4.331538677E0,6.643590927E-1,2.152954578E0,4.882500766E0
7.606772920E-1,4.215455055E0,5.761380196E-1,2.350703716E0,4.860843991E0
7.656570840E-1,4.022902012E0,5.766735077E-1,2.229861736E0,4.635577234E0
7.706870840E-1,3.803902149E0,5.856003761E-1,2.072679043E0,4.371338213E0
7.757170840E-1,3.653957129E0,5.545673370E-1,1.984538555E0,4.194918462E0
7.807135940E-1,3.491124153E0,4.929366112E-1,1.907904148E0,4.008869241E0
7.857413550E-1,3.358740807E0,3.922290802E-1,2.060811996E0,3.960041609E0
7.907691150E-1,3.140778542E0,2.909407616E-1,2.231693745E0,3.863883195E0
7.958007300E-1,2.799178123E0,2.321329117E-1,1.811185360E0,3.342106561E0
8.008287510E-1,2.497721910E0,1.537375450E-1,1.493133068E0,2.914051532E0
8.058567710E-1,2.228085995E0,-1.601696014E-3,1.220439434E0,2.540441335E0
8.109098440E-1,1.891310930E0,-1.810021400E-1,1.192825794E0,2.243357347E0
8.159395320E-1,1.587008834E0,-3.659114838E-1,1.313720703E0,2.092450797E0
8.209541150E-1,1.323065758E0,-4.374551773E-1,1.415206909E0,1.986122007E0
8.259822400E-1,1.235917091E0,-4.535021782E-1,1.454150677E0,1.961557920E0
8.310103650E-1,1.352117300E0,-6.284675598E-1,1.349698067E0,2.011188091E0
8.360323960E-1,1.551364064E0,-6.178307533E-1,1.382707119E0,2.168023126E0
8.410601050E-1,1.399886131E0,-4.926757812E-1,1.456005096E0,2.079028967E0
8.460878130E-1,1.232357502E0,-2.440443039E-1,1.269294739E0,1.785881230E0
8.511155210E-1,1.183866978E0,7.949304581E-2,1.096180439E0,1.615385935E0
8.561623960E-1,1.346803427E0,3.013796806E-1,1.199216366E0,1.828340525E0
8.611910420E-1,1.526919246E0,4.689288139E-1,1.554220200E0,2.228671587E0
8.662196880E-1,1.896852493E0,3.961548805E-1,1.608562469E0,2.518424366E0
8.712466670E-1,1.571681142E0,-1.542320251E-1,1.736227036E0,2.347009469E0
8.762752090E-1,1.610590816E0,-4.706177711E-1,1.965051651E0,2.583972108E0
8.813037510E-1,1.821932554E0,-7.264184952E-1,2.027113914E0,2.820693689E0
8.863666670E-1,2.156065702E0,-8.122286797E-1,2.241786003E0,3.214644494E0
8.913975530E-1,2.408442736E0,-6.431565285E-1,2.670152664E0,3.652938814E0
8.964277090E-1,2.623590708E0,-3.918876648E-1,2.892349243E0,3.924600399E0
9.014584900E-1,2.893954277E0,-1.167178154E-1,3.172365189E0,4.295636774E0
9.064966150E-1,2.902196407E0,3.811259270E-1,3.706203461E0,4.722705268E0
9.115281260E-1,2.936991930E0,5.469202995E-1,4.079403877E0,5.056340515E0
9.165596360E-1,3.261197090E0,2.341208458E-1,4.169975281E0,5.298953941E0
9.215911460E-1,3.754555464E0,-4.548239708E-1,4.089284897E0,5.570081018E0
9.266378650E-1,4.120536804E0,-1.402662992E0,3.799545288E0,5.777787762E0
9.316701570E-1,4.235320568E0,-2.330423355E0,3.415102959E0,5.918761825E0
9.367024490E-1,4.247233868E0,-3.165434122E0,3.516264915E0,6.357915355E0
9.417347400E-1,4.369044304E0,-3.702378273E0,3.770502090E0,6.856590918E0
9.467218240E-1,4.412165642E0,-4.032605171E0,4.033031464E0,7.210717919E0
9.517518240E-1,4.505040169E0,-4.271734715E0,4.141892433E0,7.463134551E0
9.567818240E-1,4.138772011E0,-4.305281639E0,4.321537018E0,7.371605385E0
9.617821360E-1,3.464267969E0,-4.281561375E0,4.581034660E0,7.163714046E0
9.668101570E-1,2.668696642E0,-4.168523312E0,4.820510864E0,6.909113790E0
9.718381780E-1,2.138174534E0,-4.272013187E0,5.102311134E0,6.989668513E0
9.768909380E-1,1.794344306E0,-4.662950039E0,5.393137932E0,7.351782866E0
9.819206260E-1,1.555445671E0,-5.444799900E0,5.621722221E0,7.979286805E0
9.869361460E-1,1.255263805E0,-6.039186954E0,5.612417221E0,8.339466011E0
9.919644280E-1,8.621536493E-1,-6.713627815E0,5.309510231E0,8.602732487E0
9.969927090E-1,4.972919226E-1,-7.481523991E0,4.714599609E0,8.857084732E0
1.002020990E0,-7.042944431E-2,-7.903264046E0,4.329263687E0,9.011607346E0
1.007042136E0,-7.817258835E-1,-7.927283764E0,4.294888496E0,9.049806099E0
1.012070053E0,-1.704432964E0,-7.636421204E0,4.794857025E0,9.176637424E0
1.017108074E0,-2.589350462E0,-7.380264282E0,5.544543266E0,9.587230920E0
1.022136980E0,-3.313278675E0,-7.278939247E0,6.351716995E0,1.021298590E1
1.027165886E0,-3.790198803E0,-7.423869133E0,6.668499947E0,1.067465837E1
1.032227501E0,-4.112812042E0,-7.877154350E0,6.836333275E0,1.121161167E1
1.037258646E0,-4.724631786E0,-8.513294220E0,6.412987709E0,1.165867640E1
1.042283959E0,-5.024517059E0,-9.340906143E0,4.554441452E0,1.154301677E1
1.047314532E0,-5.107380867E0,-9.899791718E0,4.209959030E0,1.190860909E1
1.052345105E0,-5.604969025E0,-9.732765198E0,6.373490334E0,1.291370494E1
1.057375678E0,-7.046447277E0,-8.774599075E0,7.833452225E0,1.371163673E1
1.062402969E0,-8.597454071E0,-7.728411674E0,7.487137794E0,1.377322750E1
1.067433334E0,-9.513587952E0,-6.930390358E0,6.856746674E0,1.362180756E1
1.072463490E0,-9.889021873E0,-6.456510544E0,7.147492409E0,1.380456192E1
1.077493855E0,-1.013274384E1,-6.316048622E0,7.469528198E0,1.408399160E1
1.082524219E0,-1.044646835E1,-6.289554119E0,7.327082634E0,1.422579811E1
1.087551251E0,-1.071200371E1,-6.229476452E0,6.842278481E0,1.415521724E1
1.092581355E0,-8.340859413E0,-7.537471771E0,5.922860146E0,1.270683630E1
1.097610417E0,-5.946668625E0,-8.818423271E0,4.956624985E0,1.173437633E1
1.102640417E0,-4.488856316E0,-9.034930229E0,4.424252510E0,1.101607033E1
